Factory Name,Factory Type,the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,string_id,bws_score,bws_cat,bws_label,bwd_score,bwd_cat,bwd_label,cfr_score,cfr_cat,cfr_label,drr_score,drr_cat,drr_label
"Thuan Phuong Embroideries Garments Co., Ltd.",FINISHED GOODS,0101000020E610000089981249F4AA5A40AF94658863AD2540,49,"Thuan Phuong Embroideries Garments Co., Ltd.",_,-,10.83865,106.67116,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
NV Apparel Company Limited,FINISHED GOODS,0101000020E6100000C47C7901F6555A407E350708E6E82440,50,NV Apparel Company Limited,_,-,10.45488,105.34314,Mekong,Delta,442100-VNM.1_1-2021,1.864040593,1,Low - Medium (10-20%),1.029894649,1,Low - Medium (5-25%),1.808037565,1,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",3.859483479,3,Medium - High (0.6-0.8)
"ECLAT FABRIC CO., LTD.",MATERIALS,0101000020E6100000DCBA9BA73AC25A4019FF3EE3C2412540,51,"ECLAT FABRIC CO., LTD.",_,-,10.62844,107.03483,"Viet Nam, Coast",Vietnam Coast 6,441059-VNM.7_1-2021,1.054499597,1,Low - Medium (10-20%),0.670249605,0,Low (<5%),4.000495029,4,"Extremely High (more than 2 in 1,000)",2.810883013,2,Medium (0.4-0.6)
"COSMO VIETNAM CO.,LTD",MATERIALS,0101000020E6100000C4CDA964009D5A40AA0F24EF1C922540,52,"COSMO VIETNAM CO.,LTD",_,-,10.785377,106.453149,"Viet Nam, Coast",Saigon,441080-VNM.39_1-2021,4.452659764,4,Extremely High (>80%),2.513910154,2,Medium - High (25-50%),2.561941643,2,"Medium - High (7 in 100,000 to 3 in 10,000)",3.371990261,3,Medium - High (0.6-0.8)
UN-AVAILABLE CO. LTD,FINISHED GOODS,0101000020E6100000691D554D10A65A401A1A4F0471A62540,53,UN-AVAILABLE CO. LTD,_,-,10.825081,106.594745,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
MAPLE COMPANY LIMITED,FINISHED GOODS,0101000020E610000019CA897615AE5A407F85CC9541E93440,54,MAPLE COMPANY LIMITED,_,-,20.911157,106.72006,Hong (Red River),Cau,436707-VNM.23_1-1882,1.888423765,1,Low - Medium (10-20%),1.025047202,1,Low - Medium (5-25%),4.014458347,4,"Extremely High (more than 2 in 1,000)",2.543822176,2,Medium (0.4-0.6)
"LUCKYTEX SOC TRANG VIETNAM CO., LTD",FINISHED GOODS,0101000020E6100000B60F79CBD5AF5A40ECDADE6E49462540,55,"LUCKYTEX SOC TRANG VIETNAM CO., LTD",_,-,10.637279,106.747424,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
TKG TAEKWNG BINH PHUOC COMPANY LIMITED,FINISHED GOODS - COMPONENTS,0101000020E6100000C2F869DC9BA75A406E4C4F58E2F92640,56,TKG TAEKWNG BINH PHUOC COMPANY LIMITED,_,-,11.488055,106.618888,"Viet Nam, Coast",Song Be,441060-VNM.10_1-2008,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
YOUNGIL (VIETNAM),MATERIALS,0101000020E61000006D1ADB6B41945A404337FB03E50E2640,57,YOUNGIL (VIETNAM),_,-,11.029091,106.316493,"Viet Nam, Coast",Saigon,441080-VNM.53_1-2021,4.452659764,4,Extremely High (>80%),2.513910154,2,Medium - High (25-50%),2.561941643,2,"Medium - High (7 in 100,000 to 3 in 10,000)",3.371990261,3,Medium - High (0.6-0.8)
"Song Hong Garment JSC - Nghia Hung Branch: Factory 15,16,17,18",FINISHED GOODS,0101000020E610000082AD122C0E8B5A403563D17476723440,58,"Song Hong Garment JSC - Nghia Hung Branch: Factory 15,16,17,18",_,-,20.44712,106.17274,Hong (Red River),Delta,436810-VNM.40_1-1882,1.431227899,1,Low - Medium (10-20%),0.765869105,0,Low (<5%),4.035185706,4,"Extremely High (more than 2 in 1,000)",3.315876613,3,Medium - High (0.6-0.8)
Maxturn Apparel Company Limited,FINISHED GOODS,0101000020E610000043554CA59F8B5A4097ADF54542233540,59,Maxturn Apparel Company Limited,_,-,21.13773,106.181619,Hong (Red River),Cau,436708-VNM.5_1-1882,2.805803426,2,Medium - High (20-40%),1.407256582,1,Low - Medium (5-25%),4.010633967,4,"Extremely High (more than 2 in 1,000)",3.189063374,3,Medium - High (0.6-0.8)
"TMVN MANUFACTURING CO.,LTD.",FINISHED GOODS,0101000020E610000017D9CEF7538B5A4002BC0512146F3440,60,"TMVN MANUFACTURING CO.,LTD.",_,-,20.4339,106.177,Hong (Red River),Delta,436810-VNM.40_1-1882,1.431227899,1,Low - Medium (10-20%),0.765869105,0,Low (<5%),4.035185706,4,"Extremely High (more than 2 in 1,000)",3.315876613,3,Medium - High (0.6-0.8)
Business Location of MDK Embroideries Garments Company Limited - Binh Chanh Factory,FINISHED GOODS,0101000020E6100000FE0E45813EA55A40A9BC1DE1B4502540,61,Business Location of MDK Embroideries Garments Company Limited - Binh Chanh Factory,_,-,10.65763,106.58194,"Viet Nam, Coast",Saigon,441060-VNM.25_1-2021,1.69615882,1,Low - Medium (10-20%),1.143929498,1,Low - Medium (5-25%),3.025974392,3,"High (3 in 10,000 to 2 in 1,000)",2.167585356,2,Medium (0.4-0.6)
