Index,Factory name,country,bws_score,bwd_score,cfr_score,drr_score,Factory Type
121,GUANGZHOU JIN HONG YUAN LEATHER PRODUCT CO LIMITED,China,0.0,0.082410582,4.004380635,2.570440387,FINISHED GOODS
122,Guangzhou Yisetong Clothing Co.Ltd,China,0.0,0.082410582,4.004380635,2.570440387,FINISHED GOODS
123,"H&L APPAREL(VIETNAM) CO.,LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
124,Ha Noi Garment No. 40 Joint Stock Company,Vietnam,1.431227899,0.765869105,4.040222523,3.469697061,FINISHED GOODS
125,"Haivina Co., Ltd.",Vietnam,1.431227899,0.765869105,4.115968585,3.732877828,FINISHED GOODS
126,Haivina Hong Linh Co. Ltd,Vietnam,2.509358846,1.23789438,4.002366466,2.282781927,FINISHED GOODS
127,"Haiyan Golden Gate Socks Industry Co., Ltd",China,3.437826419,1.527175651,2.741384111,3.336828491,FINISHED GOODS
128,"Hao’s Fitness Equipment (Shanghai) Co., Ltd. TRADING LTD",China,4.016276542,1.908488102,0.530115431,3.380822312,FINISHED GOODS
129,HESHAN TOP EAGLE GARMENT LTD.,China,0.0,0.082410582,4.004380635,2.570440387,FINISHED GOODS
130,"HESHENG CO., LTD.",Vietnam,2.805803426,1.407256582,4.010633967,3.189063374,FINISHED GOODS
131,"HI TECH APPAREL CO LTD, BRANCH 70",Thailand,3.109756422,1.63008337,2.129345161,3.069143173,FINISHED GOODS
132,Hi-Tech Apparel Co. Ltd.,Thailand,3.109756422,1.63008337,2.129345161,3.069143173,FINISHED GOODS
133,"HI-TECH APPAREL CO.,LTD. (SUPANBURI BRANCH)",Thailand,4.722261997,2.967937123,1.106095921,3.127964554,FINISHED GOODS
134,"Hi-Tech Chai1 Co.,Ltd.",Thailand,4.567296794,2.764482381,0.0,3.141564658,FINISHED GOODS
135,"Hi-Tech Chaiyaphum Apparel (2020) Co.,Ltd.",Thailand,4.567296794,2.764482381,0.0,3.141564658,FINISHED GOODS
136,"HI-TECH SURIN APPAREL (2020) CO., LTD (00001)",Thailand,3.104666025,1.501534359,0.0,3.632987044,FINISHED GOODS
137,"Hi-Tech Viet Nam Apparel Co.,Ltd.",Vietnam,0.844826194,0.47620477,0.0,2.130262904,FINISHED GOODS
138,Honways Apparel Shuyang Limited,China,2.451124948,1.261294077,0.0,3.513415155,FINISHED GOODS
139,HUA FENG (CHINA),China,2.607120116,1.220926069,3.087656758,2.654733305,MATERIALS
140,HUA FENG (VIETNAM),Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,MATERIALS
141,Hua Feng Haptic Vietnam,Vietnam,1.019449456,0.620524519,1.444160201,2.387824962,FINISHED GOODS - COMPONENTS
142,HUAFENG HAPTIC,China,2.607120116,1.220926069,3.087656758,2.654733305,FINISHED GOODS - COMPONENTS
143,Huaian Yuantong Headwear Mfg Co Ltd,China,2.655755636,1.447859049,1.503519592,3.544305675,FINISHED GOODS
144,"Huajin Textile Printing &Dyeing Co.,LTD",China,1.421866874,1.021693118,0.0,3.280110863,MATERIALS
145,HUBEI TOP EAGLE GARMENT LTD.,China,0.354520955,0.35793312,0.0,2.777421119,FINISHED GOODS
146,"HUIZHOU YANGMING INDUSTRIAL CO., LTD.",China,0.797890632,0.443913437,2.318525094,2.595601528,FINISHED GOODS
147,HUNG LONG GARMENT AND SERVICE JOINT STOCK COMPANY,Vietnam,1.431227899,0.765869105,4.035185706,3.315876613,FINISHED GOODS
148,ISA INDUSTRIAL CO LTD (HESHAN) (CHINA),China,2.527753998,1.114065211,4.002089392,2.596870208,MATERIALS
149,ISA INDUSTRIAL CO LTD (VIETNAM),Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
150,"Jiangsu Asian Sourcing Headwear MFG. CO., Ltd",China,2.655755636,1.447859049,1.503519592,3.544305675,FINISHED GOODS
151,"JiangSu HongBao Sporting Goods Co., Ltd.",China,2.655755636,1.447859049,1.503519592,3.544305675,FINISHED GOODS
152,"JIANGSU JINHUBAO GARMENT CO., LTD",China,3.100709926,1.416533289,1.047837284,3.57989061,FINISHED GOODS
153,"JIANGSU NINGSHENG GARMENT CO.,LTD   ",China,2.173164447,1.094305533,2.330857611,3.719564784,FINISHED GOODS
154,"Jiangxi Guangyou Shoetown Footwear Co., Ltd.",China,3.203923683,1.388801815,0.0,2.665399355,FINISHED GOODS
155,"JIAXING KANAAN BAG R&D CO.,LTD",China,4.016276542,1.908488102,0.530115431,3.380822312,FINISHED GOODS
156,"JIAXING QUANG VIET GARMENT CO., LTD.",China,3.437826419,1.527175651,2.741384111,3.336828491,FINISHED GOODS
157,"JINGNING XUANCHEN TECHNOLOGY CO., LTD.",China,0.956212568,0.557017791,0.0,2.765383555,FINISHED GOODS
158,"JOOWON VINA CO., LTD.",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
159,"JOV GARMENT ACCESSORIAL MATERIAL CO., LTD",China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
160,"JOY VINA FASHION CO., LTD",Vietnam,1.431227899,0.765869105,4.115968585,3.732877828,FINISHED GOODS
161,JUNMAY LABEL (TAIWAN),Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,MATERIALS
162,"Kunshan Sabrina Clothes Making Co., Ltd.",China,4.016276542,1.908488102,0.530115431,3.380822312,FINISHED GOODS
163,KUO YUEN (TR1) (CHINA),China,1.840089816,0.89520095,4.00210769,2.704106647,MATERIALS
164,KUO YUEN (VIETNAM),Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,MATERIALS
165,KUO YUEN (VIETNAM) TAY NINH,Vietnam,4.452659764,2.513910154,2.561941643,3.371990261,MATERIALS
166,KURARAY CO LTD (CLARINO) (TR1) (TR1) (CHINA),China,4.016276542,1.908488102,0.530115431,3.380822312,MATERIALS
167,"KURIM VIETNAM CO., LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,MATERIALS
168,KWAN TAT VIET NAM INDUSTRIAL LIMITED,Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS
169,LEADING STAR THANH HOA GARMENT COMPANY LIMITED,Vietnam,1.431227899,0.765869105,4.040222523,3.469697061,FINISHED GOODS
170,League Optical(Zhongshan) Workshop Limited,China,0.0,0.082410582,4.017069776,2.662134378,FINISHED GOODS
171,"LEE BOU INTERNATIONAL BINH DUONG INTL. CO., LTD",Vietnam,1.69615882,1.143929498,3.025974392,2.167585356,FINISHED GOODS - COMPONENTS
172,"LI CHENG ENTERPRISE CO.,LTD",Taiwan,1.363146487,0.922523529,2.413248717,-9999.0,FINISHED GOODS - COMPONENTS
173,"LI CHENG ENTERPRISE VIET NAM CO., LTD",Vietnam,1.054499597,0.670249605,4.000495029,2.810883013,FINISHED GOODS - COMPONENTS
174,"Lijing Regina Miracle Intimate Apparel (Zhaoqing) Co., Ltd",China,0.0,0.046475747,0.021316009,2.58346634,FINISHED GOODS
